episode-length-avg,qf1-std,return-max,return-min,StdProgress,episode-length-min,log-sigs-std,MaxProgress,log-sigs-mean,qf2-std,log-sigs-min,log-pi-mean,log-pi-min,episode-length-std,episodes,last-path-return,mean-sq-bellman-error1,policy-mus-mean,vf-avg,policy-mus-std,total-samples,time-train,time-total,mean-sq-bellman-error2,return-std,pool-size,AverageProgress,return-average,mean-qf-diff,epoch,episode-length-max,policy-mus-max,time-sample,max-path-return,log-pi-std,log-sigs-max,MinProgress,qf1-avg,time-eval,policy-mus-min,qf2-avg,vf-std,log-pi-max
1000.0,162.621,412.388647661,412.388647661,0.0,1000,0.119169,7.49600940699,-0.522469,162.621,-1.18853,-7.25018,-17.144,0.0,52,383.5058656926778,37.2617,0.0118215,257.865,0.749589,31000,9.440943505906034,760.1193979208474,27.8119,0.0,31000,7.49600940699,412.388647661,6.24169,30,1000,2.44178,1.6055704907921609,411.56232889081997,2.1825,-0.196944,7.49600940699,254.313,16.677210266992915,-2.44384,254.313,162.848,-2.35282
1000.0,181.493,365.517756088,365.517756088,0.0,1000,0.14497,7.37612746966,-0.541055,181.493,-1.1864,-6.99571,-15.5669,0.0,55,20.097064968732084,35.4896,-0.0189891,237.203,0.786888,32000,10.425388931966154,788.9250734635862,30.2038,0.0,32000,7.37612746966,365.517756088,6.26766,31,1000,2.78042,1.7000068968045525,411.56232889081997,2.17871,-0.199437,7.37612746966,233.711,16.678234479011735,-2.59727,233.711,180.963,-1.80855
1000.0,146.074,434.977518852,434.977518852,0.0,1000,0.12353,7.96741247847,-0.507303,146.074,-1.10921,-7.19098,-13.8832,0.0,57,64.63988297514487,37.1508,-0.0326402,240.228,0.761593,33000,11.624209636589512,819.1734238662175,33.6049,0.0,33000,7.96741247847,434.977518852,5.6746,32,1000,3.13491,1.9486738180276006,637.3280215994511,2.07138,-0.230626,7.96741247847,241.352,16.690664401015965,-2.65496,241.352,145.66,-2.48971
211.0,146.645,207.345901097,207.345901097,0.0,211,0.125785,3.95373260211,-0.511654,146.645,-1.14392,-7.20975,-14.365,0.0,58,436.39204363957845,33.7387,0.0128585,247.863,0.773255,34000,11.234634831926087,835.7949977344251,33.5582,0.0,34000,3.95373260211,207.345901097,5.7341,33,211,2.9289,1.8566483242611866,637.3280215994511,1.90191,-0.157513,3.95373260211,243.978,16.674778964021243,-2.64426,243.978,147.02,-2.84817
1000.0,137.587,323.296811952,323.296811952,0.0,1000,0.118408,6.79639795278,-0.495617,137.587,-1.06862,-7.51204,-14.8252,0.0,61,24.765111625684316,30.0938,0.0224344,252.541,0.739851,35000,8.557263925205916,862.5359591296874,26.4359,0.0,35000,6.79639795278,323.296811952,6.34086,34,1000,2.48944,1.5156674840545747,637.3280215994511,2.08866,-0.160376,6.79639795278,252.175,3.5203402700135484,-2.13254,252.175,139.342,-3.27162
1000.0,146.925,137.883015376,137.883015376,0.0,1000,0.141452,1.99898281601,-0.505273,146.925,-1.0819,-7.36759,-14.5398,0.0,62,368.59350945470453,39.1046,0.06366,227.871,0.749643,36000,8.11641689031967,888.8943766058364,31.2449,0.0,36000,1.99898281601,137.883015376,5.59667,35,1000,2.60024,1.560367932805093,637.3280215994511,2.23022,-0.225127,1.99898281601,227.773,16.670200749998912,-2.24842,227.773,147.737,-1.8102
1000.0,143.151,373.289373778,373.289373778,0.0,1000,0.130866,6.77879934565,-0.512264,143.151,-1.11141,-7.38327,-13.3272,0.0,64,92.1548108473244,35.0029,0.0119998,246.698,0.740725,37000,7.481021705199964,914.5365890344547,31.3863,0.0,37000,6.77879934565,373.289373778,5.96326,36,1000,2.28984,1.4924566774570849,637.3280215994511,2.07092,-0.22625,6.77879934565,244.956,16.679866427992238,-2.80701,244.956,142.853,-2.13394
1000.0,155.593,395.326177851,395.326177851,0.0,1000,0.139962,7.20951174203,-0.508947,155.593,-1.11201,-7.15513,-21.6116,0.0,65,381.1917681420396,54.3522,0.101071,237.095,0.765864,38000,7.53559204612975,940.2405876497214,61.0708,0.0,38000,7.20951174203,395.326177851,5.88812,37,1000,2.28222,1.5006080130988266,637.3280215994511,2.34178,-0.18034,7.20951174203,231.514,16.67024203701294,-2.94341,231.514,156.052,-1.8444
207.0,152.604,59.1086806501,59.1086806501,0.0,207,0.139679,1.25864264248,-0.517272,152.604,-1.19929,-7.24754,-16.0446,0.0,66,55.301790266917436,30.7915,0.0558803,240.081,0.742932,39000,7.710401051968802,952.9022643419157,28.772,0.0,39000,1.25864264248,59.1086806501,5.39558,38,207,3.30171,1.4976930642442312,637.3280215994511,2.42804,-0.236662,1.25864264248,242.421,16.674087268998846,-2.12428,242.421,152.064,0.0686712
1000.0,143.908,103.87858196,103.87858196,0.0,1000,0.133923,1.57039746401,-0.496134,143.908,-1.14684,-7.37019,-16.2522,0.0,67,410.2799358787848,24.7579,0.0619873,243.195,0.74035,40000,12.511991859035334,984.1758186379739,30.7444,0.0,40000,1.57039746401,103.87858196,5.68479,39,1000,2.2925,2.023518090019934,637.3280215994511,2.2896,-0.208313,1.57039746401,242.831,3.4519280940003227,-2.22298,242.831,142.682,-0.465067
1000.0,133.055,402.999433151,402.999433151,0.0,1000,0.130193,7.62472853466,-0.477988,133.055,-1.23216,-7.72113,-16.0372,0.0,69,156.1546708909814,40.2309,0.00246508,252.343,0.726758,41000,12.85203858409659,1015.8258664963942,29.6736,0.0,41000,7.62472853466,402.999433151,5.67439,40,1000,2.27234,2.0607059262983967,637.3280215994511,2.20201,-0.17866,7.62472853466,249.444,16.74412463401677,-2.24568,249.444,131.949,-0.734012
1000.0,125.926,356.919640218,356.919640218,0.0,1000,0.141724,6.38596283362,-0.487193,125.926,-1.2117,-7.55805,-14.1681,0.0,71,190.81632781863112,29.4682,0.113559,253.907,0.704833,42000,13.21595607540803,1047.9545718755107,33.1409,0.0,42000,6.38596283362,356.919640218,5.4358,41,1000,2.39516,2.196915143664228,637.3280215994511,2.20356,-0.205226,6.38596283362,250.938,16.73720792698441,-2.55495,250.938,125.738,-2.10822
1000.0,119.138,329.64383173,329.64383173,0.0,1000,0.118745,5.95512792573,-0.465135,119.138,-1.10226,-7.4415,-14.3645,0.0,72,344.1139549880891,43.7018,0.0410286,253.512,0.715172,43000,12.939421021059388,1079.7267098426528,38.1426,0.0,43000,5.95512792573,329.64383173,5.99903,42,1000,2.46003,2.1353427730791736,637.3280215994511,1.96153,-0.195113,5.95512792573,253.115,16.715677473985124,-2.21612,253.115,118.09,-2.21077
1000.0,131.011,349.82019443,349.82019443,0.0,1000,0.136364,6.435909661,-0.466763,131.011,-1.11653,-7.43438,-14.3309,0.0,74,49.59764479797028,23.6997,0.0737473,264.236,0.741373,44000,13.082080151856644,1111.5425554623944,24.6691,0.0,44000,6.435909661,349.82019443,5.29558,43,1000,2.39156,2.0546203169215005,637.3280215994511,2.03982,-0.189615,6.435909661,263.943,16.701928797992878,-2.16225,263.943,131.657,-2.76391
1000.0,122.395,236.441212006,236.441212006,0.0,1000,0.135263,4.06316875834,-0.460624,122.395,-1.10865,-7.61432,-14.0152,0.0,75,492.2950196439112,26.4629,0.0381623,260.451,0.712273,45000,12.55415407565306,1142.7775088770431,23.4574,0.0,45000,4.06316875834,236.441212006,5.17834,44,1000,2.1084,2.005143696005689,637.3280215994511,2.14345,-0.160944,4.06316875834,258.608,16.677222972008167,-2.55564,258.608,123.729,-2.55536
1000.0,112.453,438.697817637,438.697817637,0.0,1000,0.128631,8.08843347937,-0.449831,112.453,-1.11054,-7.52228,-14.8656,0.0,76,431.9321425976524,28.1176,-0.0110045,258.147,0.718514,46000,11.307469190680422,1172.489695212862,28.5472,0.0,46000,8.08843347937,438.697817637,5.55568,45,1000,2.30674,1.729805229086196,637.3280215994511,2.05348,-0.100266,8.08843347937,258.314,16.678590763011016,-2.31631,258.314,114.047,-3.08704
1000.0,110.306,192.834886433,192.834886433,0.0,1000,0.147917,3.7029197611,-0.468665,110.306,-1.16589,-7.52683,-15.6828,0.0,77,589.3290972993466,32.7047,-0.025238,254.979,0.714185,47000,10.582017975713825,1201.3940737489029,30.595,0.0,47000,3.7029197611,192.834886433,5.36011,46,1000,2.3898,1.6507184773217887,637.3280215994511,2.21274,-0.165367,3.7029197611,251.672,16.678237865009578,-2.50178,251.672,110.801,-2.20385
1000.0,110.994,477.077758191,477.077758191,0.0,1000,0.123947,8.9775998286,-0.449201,110.994,-1.13923,-7.68956,-15.6255,0.0,78,362.5916118639052,27.0758,0.0107469,268.034,0.716488,48000,10.504656688543037,1230.232473270269,27.9713,0.0,48000,8.9775998286,477.077758191,5.24862,47,1000,2.40022,1.6706055538379587,637.3280215994511,2.03852,-0.19384,8.9775998286,267.24,16.66951105699991,-2.57091,267.24,111.17,-2.5377
