qf2-std,episodes,AverageForwardProgress,episode-length-avg,mean-sq-bellman-error2,episode-length-max,episode-length-min,return-min,return-average,MaxForwardProgress,qf2-avg,mean-sq-bellman-error1,pool-size,log-pi-max,policy-mus-min,last-path-return,StdForwardProgress,time-train,mean-qf-diff,vf-avg,qf1-std,log-pi-mean,qf1-avg,log-sigs-min,total-samples,policy-mus-mean,return-max,log-sigs-mean,log-sigs-max,log-sigs-std,time-total,time-sample,episode-length-std,log-pi-min,policy-mus-std,time-eval,vf-std,policy-mus-max,max-path-return,epoch,return-std,MinForwardProgress,log-pi-std
689.627,1246,78.4994214355,1000.0,43.434,1000,1000,7678.59920911,7678.59920911,78.4994214355,3476.5,55.3584,1000000,-1.81554,-2.96444,7469.42516112,0.0,12.753179518032994,4.76471,3472.28,689.627,-5.74329,3476.5,-1.42026,1246000,-0.213118,7678.59920911,-0.490917,-0.126433,0.164527,35770.71104747702,2.4306629390339367,0.0,-10.7629,1.10709,16.698803321000014,687.659,2.82595,7742.31796324,1245,0.0,78.4994214355,1.78972
711.151,1247,79.2556222297,1000.0,64.4223,1000,1000,7748.92590706,7748.92590706,79.2556222297,3432.35,71.2439,1000000,-1.27929,-2.98725,7362.33781857,0.0,11.883391163006308,5.21826,3433.67,711.151,-5.41248,3432.35,-1.65649,1247000,-0.112016,7748.92590706,-0.50429,-0.0483003,0.19316,35801.313836098045,2.0313777190167457,0.0,-10.591,1.17138,16.690550262996112,712.313,3.11741,7742.31796324,1246,0.0,79.2556222297,1.64883
610.855,1248,80.6018069909,1000.0,75.9657,1000,1000,7886.45188716,7886.45188716,80.6018069909,3549.22,66.0048,1000000,-1.97629,-3.3992,7450.37536363,0.0,12.627103479026118,4.84911,3543.07,610.855,-5.63487,3549.22,-1.49574,1248000,-0.217107,7886.45188716,-0.493658,0.0245875,0.174526,35833.18990598215,2.5592022500932217,0.0,-13.1713,1.15572,16.70072036900092,607.251,2.7743,7742.31796324,1247,0.0,80.6018069909,1.96181
662.668,1249,82.1994884308,1000.0,94.2576,1000,1000,8048.95227681,8048.95227681,82.1994884308,3426.11,66.2377,1000000,-1.92747,-3.17526,7115.8105369,0.0,12.802381269932084,5.65094,3429.91,662.668,-5.43291,3426.11,-1.65056,1249000,-0.126955,8048.95227681,-0.514342,-0.082637,0.18365,35865.136318275996,2.4553233899059705,0.0,-12.2573,1.13858,16.699666647000413,662.79,2.48862,7742.31796324,1248,0.0,82.1994884308,1.71068
698.993,1250,79.0679490557,1000.0,52.6237,1000,1000,7742.58718039,7742.58718039,79.0679490557,3448.99,58.6268,1000000,-1.4255,-2.65009,7379.85964531,0.0,12.592767801957962,4.3567,3444.93,698.993,-5.23256,3448.99,-1.3865,1250000,-0.070754,7742.58718039,-0.515035,-0.00603348,0.186669,35896.90161596006,2.491580058100226,0.0,-11.171,1.16648,16.719251411996083,699.26,3.04501,7742.31796324,1249,0.0,79.0679490557,1.73383
741.849,1251,81.1771252221,1000.0,85.3511,1000,1000,7947.57698897,7947.57698897,81.1771252221,3377.98,87.1015,1000000,-1.8787,-2.81376,7126.55785266,0.0,11.217531823029276,4.70871,3375.52,741.849,-5.60264,3377.98,-1.29524,1251000,-0.0784259,7947.57698897,-0.509653,-0.114311,0.176989,35926.27102318694,1.4799514338665176,0.0,-14.2916,1.12589,16.678546971001197,740.836,3.18567,7742.31796324,1250,0.0,81.1771252221,2.04271
714.091,1252,81.2561012102,1000.0,77.482,1000,1000,7959.97524169,7959.97524169,81.2561012102,3402.24,43.5326,1000000,-2.18303,-3.58331,7569.50532911,0.0,12.740621958910197,6.09224,3398.72,714.091,-5.54177,3402.24,-1.10405,1252000,-0.207374,7959.97524169,-0.490265,-0.0204884,0.163956,35958.215230822774,2.5159872869116953,0.0,-12.8551,1.11583,16.69498547400144,712.278,3.17593,7742.31796324,1251,0.0,81.2561012102,1.7862
693.807,1253,79.2590910316,1000.0,39.4133,1000,1000,7752.22069824,7752.22069824,79.2590910316,3464.02,38.3942,1000000,-1.39175,-2.54865,7565.78007459,0.0,12.487687808927149,5.3038,3459.3,693.807,-5.53573,3464.02,-1.50599,1253000,-0.132187,7752.22069824,-0.499304,-0.0574867,0.185075,35990.0154067198,2.630674170104612,0.0,-13.0915,1.13732,16.698696109000593,692.378,3.09082,7742.31796324,1252,0.0,79.2590910316,1.88061
650.105,1254,80.0076752148,1000.0,84.4662,1000,1000,7833.97842135,7833.97842135,80.0076752148,3511.17,85.1784,1000000,-1.71686,-2.94658,7289.70765246,0.0,11.064095912050107,4.9786,3504.89,650.105,-5.47129,3511.17,-1.37812,1254000,-0.14069,7833.97842135,-0.495848,-0.039503,0.173702,36019.03398424376,1.2870046599200577,0.0,-13.9526,1.12857,16.69245249099913,648.013,3.60339,7742.31796324,1253,0.0,80.0076752148,1.9631
708.436,1255,80.5838676012,1000.0,59.744,1000,1000,7887.81391261,7887.81391261,80.5838676012,3404.43,65.9893,1000000,-1.9753,-2.4265,7345.77190259,0.0,12.752986994870298,4.6348,3404.75,708.436,-5.61097,3404.43,-1.2999,1255000,-0.243437,7887.81391261,-0.497327,-0.0637664,0.17072,36050.96033433477,2.483437993148982,0.0,-12.7209,1.10534,16.68989980900369,708.951,2.52128,7742.31796324,1254,0.0,80.5838676012,1.84517
