qf1-avg,vf-avg,qf1-std,time-total,StdProgress,qf2-avg,log-pi-std,episode-length-min,episode-length-avg,episode-length-max,time-eval,log-sigs-std,log-pi-mean,total-samples,return-std,mean-sq-bellman-error1,policy-mus-min,max-path-return,log-sigs-max,episodes,mean-qf-diff,time-train,last-path-return,log-sigs-min,epoch,log-sigs-mean,return-average,MinProgress,pool-size,policy-mus-mean,time-sample,log-pi-max,policy-mus-std,log-pi-min,AverageProgress,MaxProgress,mean-sq-bellman-error2,policy-mus-max,return-max,episode-length-std,return-min,vf-std,qf2-std
266.343,267.892,163.184,1063.2189044442493,0.0,266.343,2.02047,1000,1000.0,1000,16.685765378002543,0.107432,-7.72468,42000,0.0,39.2574,-2.41387,586.5955534831302,-0.221484,61,6.47468,7.867758071050048,234.71046605941223,-0.887498,41,-0.466364,371.656603102,6.87972628611,42000,0.0390308,1.5349665508256294,-3.21813,0.781425,-14.0451,6.87972628611,6.87972628611,36.1669,2.51172,371.656603102,0.0,371.656603102,163.329,163.184
256.246,259.041,164.348,1090.790819116286,0.0,256.246,1.88592,1000,1000.0,1000,16.67749899602495,0.102929,-7.44181,43000,0.0,45.7829,-2.63743,586.5955534831302,-0.182663,62,5.8236,9.13034940266516,323.84851418999176,-0.894116,42,-0.465097,575.736965392,10.9274454408,43000,0.000119128,1.7608222273993306,-3.24263,0.756148,-13.6882,10.9274454408,10.9274454408,39.727,2.56436,575.736965392,0.0,575.736965392,165.412,164.348
245.014,247.554,173.103,1121.1155604391824,0.0,245.014,1.92834,1000,1000.0,1000,16.67347170296125,0.105107,-7.50892,44000,0.0,31.0761,-2.51721,586.5955534831302,-0.202984,63,6.35647,11.471123015857302,314.4373100536253,-0.920015,43,-0.457444,712.615750382,13.5140535858,44000,-0.0146296,2.1826087569934316,-3.34483,0.765736,-12.9158,13.5140535858,13.5140535858,34.389,2.16084,712.615750382,0.0,712.615750382,173.228,173.103
235.635,236.797,160.043,1146.7361829335568,0.0,235.635,1.95344,1000,1000.0,1000,16.670517399033997,0.100249,-7.68965,45000,0.0,34.9548,-2.26901,586.5955534831302,-0.153473,64,5.87168,7.479313730727881,538.64110272135,-0.91454,44,-0.451208,395.218625801,7.1854119528,45000,0.0537464,1.478029019664973,-4.14591,0.749791,-14.0517,7.1854119528,7.1854119528,28.1097,2.2719,395.218625801,0.0,395.218625801,160.253,160.043
256.807,259.242,157.561,1172.8088307683938,0.0,256.807,1.87323,1000,1000.0,1000,16.67016614897875,0.0928804,-7.64087,46000,0.0,28.494,-2.39565,586.5955534831302,-0.160939,65,5.26994,7.859192294999957,199.78018876229473,-0.867477,45,-0.435008,409.774540582,7.76650997911,46000,0.0588621,1.5504694748087786,-3.73491,0.742233,-14.2795,7.76650997911,7.76650997911,27.2585,2.90203,409.774540582,0.0,409.774540582,157.949,157.561
256.68,259.427,149.15,1203.8157524547423,0.0,256.68,2.05241,1000,1000.0,1000,16.662988602009136,0.0960215,-7.81163,47000,0.0,33.858,-3.09033,586.5955534831302,-0.155896,66,5.66101,12.028817397076637,390.83517521017654,-0.976369,46,-0.433066,264.545053744,4.67731182518,47000,-0.0478051,2.3134109302191064,-4.20045,0.77021,-16.0758,4.67731182518,4.67731182518,30.9543,2.15358,264.545053744,0.0,264.545053744,148.966,149.15
259.639,258.416,155.4,1223.2018129621283,0.0,259.639,2.01883,500,500.0,500,16.664590122003574,0.0960563,-7.73922,48000,0.0,32.7357,-2.31508,586.5955534831302,-0.183701,69,6.38877,9.357682355446741,328.422325633104,-0.879195,47,-0.442993,403.979357294,8.31593291114,48000,0.00964892,1.696974870923441,-3.63022,0.768562,-15.3896,8.31593291114,8.31593291114,33.0101,2.42961,403.979357294,0.0,403.979357294,156.979,155.4
243.683,244.16,158.782,1252.4564856405486,0.0,243.683,2.11271,1000,1000.0,1000,8.33378367300611,0.101293,-7.79245,49000,0.0,48.362,-2.55678,586.5955534831302,-0.183197,70,5.55314,10.870858374342788,250.72340266721739,-0.913431,48,-0.442423,447.536060872,8.52582045387,49000,0.00135323,1.708546118112281,-3.07374,0.774949,-14.7,8.52582045387,8.52582045387,50.7324,2.70934,447.536060872,0.0,447.536060872,160.358,158.782
258.813,259.556,147.937,1285.0802813385963,0.0,258.813,1.99514,1000,1000.0,1000,16.680939420009963,0.0918784,-8.0706,50000,0.0,33.0289,-2.88967,618.921344701032,-0.206921,71,5.87104,13.458492230041884,618.921344701032,-0.872372,49,-0.423168,646.93380941,12.2399987292,50000,0.039258,2.4816872399533167,-3.08967,0.732656,-14.422,12.2399987292,12.2399987292,35.6827,2.52472,646.93380941,0.0,646.93380941,148.832,147.937
257.013,259.656,155.722,1317.3613298333948,0.0,257.013,2.02292,1000,1000.0,1000,16.680378346994985,0.0959334,-7.75847,51000,0.0,38.9191,-2.25654,618.921344701032,-0.186565,72,6.02484,13.214952709386125,344.95206755716333,-0.878129,50,-0.439398,711.29648162,13.5876180342,51000,0.0164109,2.3841894634533674,-3.29433,0.741079,-18.4591,13.5876180342,13.5876180342,40.6863,2.783,711.29648162,0.0,711.29648162,157.245,155.722
