log-sigs-min,epoch,MinProgress,mean-sq-bellman-error1,time-total,return-average,qf1-std,episode-length-std,policy-mus-min,policy-mus-std,vf-std,log-pi-max,StdProgress,vf-avg,mean-sq-bellman-error2,episode-length-max,return-max,MaxProgress,total-samples,log-pi-mean,qf1-avg,time-eval,mean-qf-diff,max-path-return,policy-mus-max,pool-size,log-sigs-max,time-train,episodes,return-min,last-path-return,log-sigs-mean,return-std,log-pi-std,AverageProgress,qf2-avg,episode-length-min,time-sample,qf2-std,log-sigs-std,policy-mus-mean,episode-length-avg,log-pi-min
-0.888832,30,7.21829474808,40.9808,780.1649142278475,324.271040895,139.301,0.0,-2.64619,0.845008,141.513,-2.8849,0.0,285.979,38.7606,1000,324.271040895,7.21829474808,31000,-7.20755,283.633,16.67840293899644,6.86484,560.7697165210122,2.71569,31000,-0.254764,7.504833202518057,51,324.271040895,177.78087589791826,-0.527798,0.0,2.05995,7.21829474808,283.633,1000,1.4905686632264405,139.301,0.0933025,0.0453825,1000.0,-16.4513
-0.925467,31,10.9680460333,44.8454,806.9246782273985,582.981885319,171.184,0.0,-2.30397,0.828156,171.128,-2.81478,0.0,233.542,45.6297,1000,582.981885319,10.9680460333,32000,-6.92752,231.712,16.67994218104286,7.31235,560.7697165210122,3.08953,32000,-0.174466,8.537273255875334,52,582.981885319,73.10967172511995,-0.54958,0.0,1.96718,10.9680460333,231.712,1000,1.553888720634859,171.184,0.0995717,0.118165,1000.0,-14.4576
-0.916811,32,5.3725612583,40.6105,837.6682681276579,281.506267571,171.144,0.0,-3.14221,0.861687,171.832,-3.07039,0.0,242.643,37.8356,1000,281.506267571,5.3725612583,33000,-6.85179,243.091,16.686168342013843,6.99515,560.7697165210122,2.95516,33000,-0.195928,11.765234117861837,53,281.506267571,81.02328144996304,-0.549703,0.0,1.96593,5.3725612583,243.091,1000,2.286303555360064,171.144,0.0941912,0.00628244,1000.0,-12.8683
-0.930915,33,9.51879417095,44.7148,865.1358201537514,497.676930669,171.219,0.0,-2.378,0.790138,169.893,-2.93678,0.0,237.233,43.8033,1000,497.676930669,9.51879417095,34000,-6.92405,239.288,16.673743286984973,7.16534,560.7697165210122,2.57978,34000,-0.266208,8.99647831369657,54,497.676930669,172.85988590890793,-0.547367,0.0,1.8766,9.51879417095,239.288,1000,1.7920124833472073,171.219,0.0960829,0.0227945,1000.0,-13.6033
-0.87777,34,2.81401753329,54.5404,890.8304863458616,171.122745559,175.289,0.0,-2.34065,0.823165,174.866,-2.7881,0.0,217.027,51.6897,1000,171.122745559,2.81401753329,35000,-7.26205,217.664,16.6784869050025,6.83107,560.7697165210122,2.63441,35000,-0.147246,7.510917375271674,56,171.122745559,91.3578480971696,-0.526866,0.0,2.04801,2.81401753329,217.664,1000,1.4994212879100814,175.289,0.0976524,0.0265893,1000.0,-13.5003
-0.8646,35,8.24068180501,38.4926,919.4229769767844,428.046093364,151.992,0.0,-2.40395,0.78449,152.607,-2.8746,0.0,256.157,37.3521,1000,428.046093364,8.24068180501,36000,-7.33663,253.095,16.70036350999726,6.40846,560.7697165210122,2.64463,36000,-0.17033,9.963935330917593,57,428.046093364,472.4892179964815,-0.509143,0.0,2.20414,8.24068180501,253.095,1000,1.9486909650149755,151.992,0.0903494,0.00578262,1000.0,-15.6964
-0.787311,36,2.51290733676,34.7583,949.0820355874021,147.706394362,150.503,0.0,-2.17448,0.762005,151.93,-3.98532,0.0,239.592,38.2316,1000,147.706394362,2.51290733676,37000,-7.29968,238.323,16.670294343028218,6.19452,560.7697165210122,2.57663,37000,-0.270841,10.823982371250167,58,147.706394362,502.1213360585934,-0.522713,0.0,1.8768,2.51290733676,238.323,1000,2.1574074391974136,150.503,0.0886087,0.022628,1000.0,-13.0039
-0.913012,37,10.3482892576,41.1184,974.723649038875,510.306236645,160.071,0.0,-2.60528,0.802455,159.715,-3.48923,0.0,237.496,40.4061,1000,510.306236645,10.3482892576,38000,-7.24193,235.815,16.681925103999674,7.02876,560.7697165210122,2.78581,38000,-0.225702,7.498073472524993,60,510.306236645,98.45044992454011,-0.498098,0.0,2.259,10.3482892576,235.815,1000,1.477424809942022,160.071,0.0954425,-0.000818519,1000.0,-20.3819
-0.913392,38,1.22653046288,34.0384,985.4283793247887,55.7045691937,154.123,0.0,-4.2126,0.802782,153.121,-3.25042,0.0,240.83,37.9383,55,55.7045691937,1.22653046288,39000,-7.43756,236.068,16.671955085999798,6.1964,648.762321658793,2.32264,39000,-0.155729,8.174832891847473,61,55.7045691937,648.762321658793,-0.493519,0.0,2.1728,1.22653046288,236.068,55,1.6043797160382383,154.123,0.0958365,0.053259,55.0,-16.0738
-0.827809,39,5.2152576172,30.584,1012.4668656269787,292.786260015,146.932,0.0,-2.54887,0.814744,146.289,-3.66877,0.0,233.917,36.7211,1000,292.786260015,5.2152576172,40000,-7.54722,232.466,0.9202191500226036,6.56862,648.762321658793,2.33906,40000,-0.239407,8.7643201360479,62,292.786260015,216.75936385003462,-0.474005,0.0,2.03032,5.2152576172,232.466,1000,1.6031358880572952,146.932,0.0891424,-0.0115245,1000.0,-15.6498
-0.823023,40,1.39479432392,31.6501,1026.4185532550327,72.061022019,149.845,0.0,-2.20814,0.767597,150.064,-3.33478,0.0,239.559,27.1043,85,72.061022019,1.39479432392,41000,-7.75815,238.815,16.688641152053606,6.16498,648.762321658793,2.74969,41000,-0.0977097,10.799867959110998,66,72.061022019,169.0552257805634,-0.473361,0.0,2.07288,1.39479432392,238.815,85,1.712567018927075,149.845,0.092748,0.0341283,85.0,-16.7492
